ticker,trailingPE,priceToBook,revenueGrowth,returnOnEquity,debtToEquity,trailingEps,marketCap,sector,shortName
MMM,30.504818,25.306906,0.013,0.71458,396.497,5.19,82574532608.0,Industrials,3M Company
AOS,15.754667,4.336147,-0.019,0.28267,34.981,3.75,8142915584.0,Industrials,A.O. Smith Corporation
ABT,24.700281,2.9502492,0.078,0.123339996,64.773,3.57,153593085952.0,Healthcare,Abbott Laboratories
ABBV,111.08781,-60.45394,0.124,,,2.05,402351718400.0,Healthcare,AbbVie Inc.
ACN,13.968827,3.3544776,0.083,0.24763,25.469,12.19,104796291072.0,Technology,Accenture plc
ADBE,11.671625,7.12062,0.127,0.62953997,61.339,17.48,82464882688.0,Technology,Adobe Inc.
AMD,169.39404,12.935747,0.378,0.08063,6.005,3.02,834166325248.0,Technology,"Advanced Micro Devices, Inc."
AES,7.6458335,2.368506,0.087,0.052600004,259.603,1.92,10469154816.0,Utilities,The AES Corporation
AFL,13.462857,2.007293,0.279,0.16469,48.276,8.75,59958423552.0,Financial Services,AFLAC Incorporated
A,26.02004,5.145031,0.1,0.21330999,49.733,4.99,36670959616.0,Healthcare,"Agilent Technologies, Inc."
APD,29.675447,4.0071144,0.088,0.12353,101.611,9.49,62711332864.0,Basic Materials,"Air Products and Chemicals, Inc"
ABNB,32.661728,10.306997,0.179,0.32325,33.185,4.05,78508826624.0,Consumer Cyclical,"Airbnb, Inc."
AKAM,45.10135,3.9583702,0.058,0.091680005,119.534,2.96,19408957440.0,Technology,"Akamai Technologies, Inc."
ALB,,2.638203,0.327,-0.0182,19.845,-3.43,20098422784.0,Basic Materials,Albemarle Corporation
ARE,,0.5768876,-0.115,-0.04144,66.509,-6.27,9265907712.0,Real Estate,Alexandria Real Estate Equities
ALGN,29.434343,3.0176566,0.062,0.10824,2.797,5.94,12521713664.0,Healthcare,"Align Technology, Inc."
ALLE,18.32695,5.4791217,0.097,0.34179002,105.863,7.31,11512827904.0,Industrials,Allegion plc
LNT,22.990566,2.544107,0.05,0.113120005,159.526,3.18,18882633728.0,Utilities,Alliant Energy Corporation
ALL,4.9044037,1.9313825,0.03,0.45221,23.719,45.19,57052200960.0,Financial Services,Allstate Corporation (The)
GOOGL,27.477463,9.102596,0.218,0.38884997,20.026,13.09,4386274148352.0,Communication Services,Alphabet Inc.
GOOG,27.319605,9.064129,0.218,0.38884997,20.026,13.11,4367737946112.0,Communication Services,Alphabet Inc.
MO,15.01879,-37.42976,0.053,,,4.79,120131977216.0,Consumer Defensive,"Altria Group, Inc."
AMZN,31.637932,5.805125,0.166,0.24285,53.3,7.54,2566108479488.0,Consumer Cyclical,"Amazon.com, Inc."
AMCR,32.48,1.6104081,0.774,0.08737001,143.74,1.25,18771234816.0,Consumer Cyclical,Amcor plc
AEE,19.604317,2.224853,0.037,0.117469996,155.674,5.56,30165925888.0,Utilities,Ameren Corporation
AAL,48.32258,-2.43024,0.108,,,0.31,9907549184.0,Industrials,"American Airlines Group, Inc."
AEP,19.116863,2.21008,0.102,0.12585,157.099,6.76,70314688512.0,Utilities,American Electric Power Company
AXP,20.327295,6.528909,0.116,0.34419,177.847,16.01,222056333312.0,Financial Services,American Express Company
AIG,13.334507,0.9989448,0.014,0.07723,22.647,5.68,40157818880.0,Financial Services,"American International Group, I"
AMT,30.190323,24.762533,0.068,0.29952,444.55,6.2,87205855232.0,Real Estate,American Tower Corporation (REI
